iter	Passed	Remaining
748	2883	966
749	2888	962
750	2892	959
751	2896	955
752	2899	951
753	2904	947
754	2907	943
755	2911	939
756	2915	935
757	2918	931
758	2922	927
759	2926	924
760	2930	920
761	2935	916
762	2938	912
763	2942	909
764	2946	905
765	2950	901
766	2954	897
767	2957	893
768	2960	889
769	2964	885
770	2968	881
771	2971	877
772	2975	873
773	2980	870
774	2984	866
775	2988	862
776	2992	858
777	2996	855
778	3000	851
779	3004	847
780	3008	843
781	3011	839
782	3014	835
783	3017	831
784	3021	827
785	3025	823
786	3028	819
787	3033	816
788	3036	812
789	3040	808
790	3044	804
791	3049	800
792	3054	797
793	3057	793
794	3061	789
795	3065	785
796	3068	781
797	3071	777
798	3075	773
799	3079	769
800	3082	765
801	3087	762
802	3092	758
803	3096	754
804	3100	750
805	3103	747
806	3107	743
807	3110	739
808	3114	735
809	3118	731
810	3121	727
811	3124	723
812	3128	719
813	3133	715
814	3137	712
815	3140	708
816	3145	704
817	3148	700
818	3152	696
819	3157	693
820	3160	689
821	3164	685
822	3168	681
823	3171	677
824	3175	673
825	3179	669
826	3184	666
827	3190	662
828	3194	658
829	3198	655
830	3201	651
831	3205	647
832	3208	643
833	3212	639
834	3216	635
835	3221	631
836	3223	627
837	3227	623
838	3231	620
839	3235	616
840	3239	612
841	3243	608
842	3247	604
843	3250	600
844	3254	596
845	3257	593
846	3262	589
847	3266	585
848	3270	581
849	3274	577
850	3278	574
851	3283	570
852	3287	566
853	3292	562
854	3297	559
855	3300	555
856	3304	551
857	3308	547
858	3312	543
859	3316	539
860	3321	536
861	3325	532
862	3328	528
863	3332	524
864	3335	520
865	3339	516
866	3344	513
867	3350	509
868	3357	506
869	3362	502
870	3366	498
871	3370	494
872	3374	490
873	3378	487
874	3382	483
875	3386	479
876	3390	475
877	3394	471
878	3398	467
879	3407	464
880	3411	460
881	3417	457
882	3421	453
883	3425	449
884	3433	446
885	3438	442
886	3444	438
887	3449	435
888	3453	431
889	3456	427
890	3461	423
891	3464	419
892	3468	415
893	3472	411
894	3477	407
895	3484	404
896	3488	400
897	3491	396
898	3495	392
899	3498	388
900	3501	384
901	3506	380
902	3508	376
903	3512	373
904	3517	369
905	3521	365
906	3525	361
907	3530	357
908	3534	353
909	3538	349
910	3542	346
911	3546	342
912	3551	338
913	3555	334
914	3559	330
915	3562	326
916	3566	322
917	3570	318
918	3574	315
919	3578	311
920	3582	307
921	3586	303
922	3590	299
923	3593	295
924	3597	291
925	3603	287
926	3609	284
927	3613	280
928	3617	276
929	3621	272
930	3625	268
